state,postcode,name,region
VIC,3099,ARTHURS CREEK,MELB NORTH WEST
VIC,3099,COTTLES BRIDGE,MELB NORTH WEST
VIC,3099,HURSTBRIDGE,MELB NORTH WEST
VIC,3099,NUTFIELD,MELB NORTH WEST
VIC,3099,STRATHEWEN,MELB NORTH WEST
VIC,3101,COTHAM,HAWTHORN
VIC,3101,KEW,HAWTHORN
VIC,3102,KEW EAST,HAWTHORN
VIC,3103,BALWYN,HAWTHORN
VIC,3103,BALWYN EAST,HAWTHORN
VIC,3103,DEEPDENE,HAWTHORN
VIC,3104,BALWYN NORTH,HAWTHORN
VIC,3104,GREYTHORN,HAWTHORN
VIC,3105,BULLEEN,RINGWOOD
VIC,3106,TEMPLESTOWE,RINGWOOD
VIC,3107,TEMPLESTOWE LOWER,RINGWOOD
VIC,3108,DONCASTER,RINGWOOD
VIC,3109,DONCASTER EAST,RINGWOOD
VIC,3109,DONCASTER HEIGHTS,RINGWOOD
VIC,3111,DONVALE,RINGWOOD
VIC,3113,NORTH WARRANDYTE,RINGWOOD
VIC,3113,WARRANDYTE,RINGWOOD
VIC,3114,PARK ORCHARDS,RINGWOOD
VIC,3115,WONGA PARK,RINGWOOD
VIC,3116,CHIRNSIDE PARK,RINGWOOD
VIC,3121,BURNLEY,MOORABBIN
VIC,3121,BURNLEY NORTH,MOORABBIN
VIC,3121,CREMORNE,MOORABBIN
VIC,3121,RICHMOND,MOORABBIN
VIC,3121,RICHMOND EAST,MOORABBIN
VIC,3121,RICHMOND NORTH,MOORABBIN
VIC,3121,RICHMOND SOUTH,MOORABBIN
VIC,3122,AUBURN SOUTH,HAWTHORN
VIC,3122,GLENFERRIE SOUTH,HAWTHORN
VIC,3122,HAWTHORN,HAWTHORN
VIC,3122,HAWTHORN NORTH,HAWTHORN
VIC,3122,HAWTHORN WEST,HAWTHORN
VIC,3123,AUBURN,HAWTHORN
VIC,3123,HAWTHORN EAST,HAWTHORN
VIC,3124,CAMBERWELL,HAWTHORN
VIC,3124,CAMBERWELL NORTH,HAWTHORN
VIC,3124,CAMBERWELL SOUTH,HAWTHORN
VIC,3124,CAMBERWELL WEST,HAWTHORN
VIC,3124,HARTWELL,HAWTHORN
VIC,3124,MIDDLE CAMBERWELL,HAWTHORN
VIC,3125,BURWOOD,HAWTHORN
VIC,3126,CAMBERWELL EAST,HAWTHORN
VIC,3126,CANTERBURY,HAWTHORN
VIC,3127,MONT ALBERT,HAWTHORN
VIC,3127,SURREY HILLS,HAWTHORN
VIC,3127,SURREY HILLS NORTH,HAWTHORN
VIC,3128,BOX HILL,FERNTREE GULLY
VIC,3128,BOX HILL SOUTH,FERNTREE GULLY
VIC,3128,WATTLE PARK,FERNTREE GULLY
VIC,3129,BOX HILL NORTH,FERNTREE GULLY
VIC,3129,KERRIMUIR,FERNTREE GULLY
VIC,3129,MONT ALBERT NORTH,FERNTREE GULLY
VIC,3130,BLACKBURN,FERNTREE GULLY
VIC,3130,BLACKBURN NORTH,FERNTREE GULLY
VIC,3130,BLACKBURN SOUTH,FERNTREE GULLY
VIC,3130,LABURNUM,FERNTREE GULLY
VIC,3131,BRENTFORD SQUARE,FERNTREE GULLY
VIC,3131,FOREST HILL,FERNTREE GULLY
VIC,3131,NUNAWADING,FERNTREE GULLY
VIC,3132,MITCHAM,FERNTREE GULLY
VIC,3132,MITCHAM NORTH,FERNTREE GULLY
VIC,3132,RANGEVIEW,FERNTREE GULLY
VIC,3133,VERMONT,FERNTREE GULLY
VIC,3133,VERMONT SOUTH,FERNTREE GULLY
VIC,3134,HEATHWOOD,RINGWOOD
VIC,3134,RINGWOOD,RINGWOOD
VIC,3134,RINGWOOD NORTH,RINGWOOD
VIC,3134,WARRANDYTE SOUTH,RINGWOOD
VIC,3134,WARRANWOOD,RINGWOOD
VIC,3135,BEDFORD ROAD,RINGWOOD
VIC,3135,HEATHMONT,RINGWOOD
VIC,3135,RINGWOOD EAST,RINGWOOD
VIC,3136,CROYDON,RINGWOOD
VIC,3136,CROYDON HILLS,RINGWOOD
VIC,3136,CROYDON NORTH,RINGWOOD
VIC,3136,CROYDON SOUTH,RINGWOOD
VIC,3137,KILSYTH,RINGWOOD
VIC,3137,KILSYTH SOUTH,RINGWOOD
VIC,3138,MOOROOLBARK,RINGWOOD
VIC,3139,BEENAK,RINGWOOD
VIC,3139,DON VALLEY,RINGWOOD
VIC,3139,HODDLES CREEK,RINGWOOD
VIC,3139,LAUNCHING PLACE,RINGWOOD
VIC,3139,SEVILLE,RINGWOOD
VIC,3139,SEVILLE EAST,RINGWOOD
VIC,3139,WANDIN EAST,RINGWOOD
VIC,3139,WANDIN NORTH,RINGWOOD
VIC,3139,WOORI YALLOCK,RINGWOOD
VIC,3139,YELLINGBO,RINGWOOD
VIC,3140,LILYDALE,RINGWOOD
VIC,3141,SOUTH YARRA,MOORABBIN
VIC,3142,HAWKSBURN,MOORABBIN
VIC,3142,TOORAK,MOORABBIN
VIC,3143,ARMADALE,HAWTHORN
VIC,3143,ARMADALE NORTH,HAWTHORN
VIC,3144,KOOYONG,HAWTHORN
VIC,3144,MALVERN,HAWTHORN
VIC,3145,CAULFIELD EAST,MULGRAVE
